type,client,tx,amount
deposit,1,1,1.3333
deposit,1,2,2.6666
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
dispute,1,2,
resolve,1,2,
